1: That
2: June
5: beam
7: to joy
8: governments
9: Children
10: They
10: They
10: They
10: They
11: half
13: of
13: of
13: of
13: of
13: of
14: go
14: go
14: go
14: go
15: in
15: in
15: in
16: high
16: ages
16: ages
16: high
16: ages
16: high
16: high
17: United
18: free
19: by
19: Most
20: is
20: is
21: like
21: on
21: like
23: middle
23: middle
24: differ
25: or
25: or
26: five
27: to
27: to
27: to
27: to
27: to
27: to
27: to
28: States
30: grades
30: grades
30: grades
31: also
33: year
33: that
33: that
34: when
36: well
36: from
36: from
36: from
36: from
36: from
36: some
37: tremulously
39: public
39: public
40: attend
41: dispel
41: children
41: children
41: auto
42: they
45: offers
48: thou
48: thou
48: school
48: school
48: school
48: school
48: school
48: school
48: school
48: school
48: school
48: school
48: school
48: school
48: school
50: mainly
53: 5
54: 6
54: national
54: little
56: runs
57: must
59: darkness
60: amount
67: subjects
67: subjects
71: involved
72: vocational
73: I
76: business
77: system
77: activities
78: kindergarten
78: elementary
78: kindergarten
78: elementary
80: showst
83: sports
89: The
89: The
89: The
89: The
90: students
93: government
97: 10
97: a
98: 11
99: 12
101: 14
102: How
102: 15
102: 15
104: There
105: 90
106: 19
107: and
107: and
107: About
107: About
107: and
110: 68
112: are
112: are
112: are
112: are
112: are
112: are
112: are
112: are
113: far
113: all
113: all
117: drama
118: Whose
119: old
121: the
121: the
121: the
121: the
121: the
121: the
121: the
121: the
121: the
122: Catholics
123: local
127: art
127: for
127: for
130: pay
131: which
131: which
131: but
134: general
135: September
136: responsibility
136: level
136: there
137: canst
137: not
137: these
137: not
137: clubs
138: nonacademic
138: teams
139: differs
139: mechanics
140: often
140: include
140: their
140: include
140: often
140: their
141: run
145: state
145: state
145: state
146: other
147: rememberd
148: years
148: example
152: money
153: percent
153: percent
153: similar
154: spent
154: studied
155: tearful
156: glows
156: 912
156: education
156: education
156: education
161: educational
163: schools
163: private
163: private
163: schools
163: schools
163: schools
163: private
163: schools
163: schools
163: schools
163: schools
163: schools
165: types
165: parents
165: specialized
166: emphasize
168: US
169: through
169: through
169: through
179: religious
181: At
181: newspaper
183: In
183: usually
184: High
